endpoint,analysis_family,input,aggregation,quantity,n_patients,n_values,values_per_patient,responder_patients,nonresponder_patients,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,patient_clustered_permutation_p,holm_p_within_endpoint,significant_after_holm_0_05,permutations,seed
immediate,single_clip,PRE awake,one clip,beta DFA intercept,50,100,2,32,18,-0.16082303498328165,-0.09430816727504483,0.4344618055555556,0.5655381944444444,lower,0.4119205880794119,0.4119205880794119,False,1000000,20260910
immediate,single_clip,PRE awake,one clip,delta PLI connectivity,50,100,2,32,18,5.847953259944916,12.865497171878815,0.3862847222222222,0.6137152777777778,lower,0.15464384535615464,0.30928769071230927,False,1000000,20260910
immediate,single_clip,PRE awake,one clip,R0 from that clip's DFA and PLI,50,100,2,32,18,-0.1091710443853136,-0.666937136674034,0.6419270833333334,0.6419270833333334,higher,0.07225992774007226,0.23965176034823965,False,1000000,20260910
immediate,single_clip,POST sleep,one clip,beta Shannon entropy,50,100,2,32,18,5.918162951464499,5.385457360384894,0.78125,0.78125,higher,6.8999931000069e-05,0.00041399958600041396,True,1000000,20260910
immediate,single_clip,POST awake,one clip,beta DFA intercept,50,100,2,32,18,-0.40832242241912287,-0.16437069850966857,0.3111979166666667,0.6888020833333333,lower,0.011152988847011153,0.05576494423505576,False,1000000,20260910
immediate,patient_average,PRE awake,mean of two awake clips,R0 after within-patient averaging,50,50,1,32,18,0.09302333390409849,-0.6072821600747909,0.6614583333333334,0.6614583333333334,higher,0.05991294008705991,0.23965176034823965,False,1000000,20260910
immediate,awake_sleep,POST awake + POST sleep,one awake clip paired with one sleep clip; all four within-patient pairs,R1 from awake DFA and sleep entropy,50,200,4,32,18,31.32319413454109,26.155312967945484,0.7980685763888888,0.7980685763888888,higher,4.8999951000049e-05,0.000342999657000343,True,1000000,20260910
immediate,patient_average,POST awake + POST sleep,mean of two awake and two sleep clips,R1 after within-patient averaging,50,50,1,32,18,31.3262382408589,27.076672587595215,0.8472222222222222,0.8472222222222222,higher,2.8999971000029e-05,0.000231999768000232,True,1000000,20260910
sustained,single_clip,PRE awake,one clip,beta DFA intercept,50,100,2,28,22,-0.21073650825570464,0.017324250945952354,0.3449675324675325,0.6550324675324675,lower,0.04166995833004167,0.05994394005605994,False,1000000,20260911
sustained,single_clip,PRE awake,one clip,delta PLI connectivity,50,100,2,28,22,5.263157933950424,12.865497171878815,0.3336038961038961,0.6663961038961039,lower,0.02997197002802997,0.05994394005605994,False,1000000,20260911
sustained,single_clip,PRE awake,one clip,R0 from that clip's DFA and PLI,50,100,2,28,22,-0.002393661394084569,-0.7491959983200962,0.7248376623376623,0.7248376623376623,higher,0.002756997243002757,0.010167989832010168,True,1000000,20260911
sustained,single_clip,POST sleep,one clip,beta Shannon entropy,50,100,2,28,22,5.987703297317139,5.413141754694621,0.8027597402597403,0.8027597402597403,higher,1.3999986000014e-05,8.399991600008399e-05,True,1000000,20260911
sustained,single_clip,POST awake,one clip,beta DFA intercept,50,100,2,28,22,-0.43991517983817313,-0.0964980090006974,0.23133116883116883,0.7686688311688312,lower,0.000118999881000119,0.000594999405000595,True,1000000,20260911
sustained,patient_average,PRE awake,mean of two awake clips,R0 after within-patient averaging,50,50,1,28,22,0.1741350715414448,-0.8413066127521069,0.7467532467532467,0.7467532467532467,higher,0.002541997458002542,0.010167989832010168,True,1000000,20260911
sustained,awake_sleep,POST awake + POST sleep,one awake clip paired with one sleep clip; all four within-patient pairs,R1 from awake DFA and sleep entropy,50,200,4,28,22,31.948225112488082,26.10173859783405,0.8730722402597403,0.8730722402597403,higher,1.999998000002e-06,1.3999986000014001e-05,True,1000000,20260911
sustained,patient_average,POST awake + POST sleep,mean of two awake and two sleep clips,R1 after within-patient averaging,50,50,1,28,22,31.77656536180283,26.936423558195,0.9237012987012987,0.9237012987012987,higher,9.99999000001e-07,7.999992000008e-06,True,1000000,20260911
