endpoint_tested_here,metric_category,source_target,input,quantity,calculation_level,aggregation,source_selected_or_defined,matches_source_patient_construction,source_formula,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,raw_p,holm_adjusted_p,adjustment_family,significant_after_holm_0_05,permutations,seed
immediate,individual qEEG feature,response,POST awake,beta DFA intercept,clip-based,one clip,True,False,,50,100,2,-0.4083224224191228,-0.1643706985096685,0.3111979166666667,0.6888020833333333,lower,0.0113089886910113,0.2374887625112375,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST awake,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.915723367288416,5.845431858613555,0.5269097222222222,0.5269097222222222,higher,0.7406732593267407,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST awake,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,7.017543911933899,10.818713530898094,0.41015625,0.58984375,lower,0.2678497321502678,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,beta DFA intercept,clip-based,one clip,False,False,,50,100,2,-0.4634934177032337,-0.3848102632506457,0.4357638888888889,0.5642361111111112,lower,0.4279795720204279,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,beta Shannon entropy,clip-based,one clip,True,False,,50,100,2,5.918162951464499,5.385457360384894,0.78125,0.78125,higher,7.999992000008e-05,0.0019199980800019,24 individual-feature tests within endpoint,True,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,10.233918204903604,21.052631735801697,0.4290364583333333,0.5709635416666667,lower,0.3853516146483853,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,beta DFA intercept,clip-based,one clip,True,False,,50,100,2,-0.1608230349832816,-0.0943081672750448,0.4344618055555556,0.5655381944444444,lower,0.4116685883314117,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.941505432626531,5.793620291630087,0.5568576388888888,0.5568576388888888,higher,0.463057536942463,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,delta PLI connectivity,clip-based,one clip,True,False,,50,100,2,5.847953259944916,12.865497171878816,0.3862847222222222,0.6137152777777778,lower,0.1536608463391536,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,beta DFA intercept,clip-based,one clip,False,False,,50,100,2,-0.0343754528282437,-0.0309219657992486,0.4952256944444444,0.5047743055555556,lower,0.9562400437599562,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.379485186232179,5.105294223631573,0.6527777777777778,0.6527777777777778,higher,0.0506599493400506,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,2.923976629972458,9.356725215911863,0.3704427083333333,0.6295572916666667,lower,0.1057068942931057,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,published EEG response score,sustained response,POST awake + POST sleep,R1,clip-based,all four within-patient POST awake/sleep clip pairs,True,False,4.765*POST-sleep entropy - 7.786*POST-awake DFA,50,200,4,31.32319413454109,26.155312967945484,0.7980685763888888,0.7980685763888888,higher,3.0999969000031e-05,0.00040299959700040297,16 paper-derived tests within endpoint,True,1000000,20260914
