endpoint,analysis_family,input,aggregation,quantity,source_selected_cell,n_patients,n_values,values_per_patient,responder_patients,nonresponder_patients,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,patient_clustered_permutation_p,holm_p_across_24_grid_tests,significant_after_holm_0_05,permutations,seed
immediate,single_clip,PRE awake,one clip,beta DFA intercept,True,50,100,2,32,18,-0.16082303498328165,-0.09430816727504483,0.4344618055555556,0.5655381944444444,lower,0.4116685883314117,1.0,False,1000000,20260912
immediate,patient_average,PRE awake,mean of two awake clips,beta DFA intercept,True,50,50,1,32,18,-0.1820821776635719,-0.07352836599270743,0.4131944444444444,0.5868055555555556,lower,0.3195906804093196,1.0,False,1000000,20260912
immediate,single_clip,PRE awake,one clip,beta Shannon entropy,False,50,100,2,32,18,5.941505432626531,5.793620291630087,0.5568576388888888,0.5568576388888888,higher,0.46305753694246304,1.0,False,1000000,20260912
immediate,patient_average,PRE awake,mean of two awake clips,beta Shannon entropy,False,50,50,1,32,18,5.826099028892608,5.709232445204757,0.5625,0.5625,higher,0.4763405236594763,1.0,False,1000000,20260912
immediate,single_clip,PRE awake,one clip,delta PLI connectivity,True,50,100,2,32,18,5.847953259944916,12.865497171878815,0.3862847222222222,0.6137152777777778,lower,0.15366084633915367,1.0,False,1000000,20260912
immediate,patient_average,PRE awake,mean of two awake clips,delta PLI connectivity,True,50,50,1,32,18,6.2865497544407845,11.84210516512394,0.3932291666666667,0.6067708333333333,lower,0.2181017818982181,1.0,False,1000000,20260912
immediate,single_clip,PRE sleep,one clip,beta DFA intercept,False,50,100,2,32,18,-0.03437545282824378,-0.030921965799248694,0.4952256944444444,0.5047743055555556,lower,0.9562400437599562,1.0,False,1000000,20260912
immediate,patient_average,PRE sleep,mean of two sleep clips,beta DFA intercept,False,50,50,1,32,18,-0.05443567584339461,-0.09044960306812509,0.5,0.5,higher,1.0,1.0,False,1000000,20260912
immediate,single_clip,PRE sleep,one clip,beta Shannon entropy,False,50,100,2,32,18,5.379485186232179,5.105294223631573,0.6527777777777778,0.6527777777777778,higher,0.05065994934005066,1.0,False,1000000,20260912
immediate,patient_average,PRE sleep,mean of two sleep clips,beta Shannon entropy,False,50,50,1,32,18,5.409316511983233,5.2386530087542145,0.6614583333333334,0.6614583333333334,higher,0.05966594033405966,1.0,False,1000000,20260912
immediate,single_clip,PRE sleep,one clip,delta PLI connectivity,False,50,100,2,32,18,2.923976629972458,9.356725215911865,0.3704427083333333,0.6295572916666667,lower,0.1057068942931057,1.0,False,1000000,20260912
immediate,patient_average,PRE sleep,mean of two sleep clips,delta PLI connectivity,False,50,50,1,32,18,4.239766113460064,10.380117036402225,0.3671875,0.6328125,lower,0.12406387593612406,1.0,False,1000000,20260912
immediate,single_clip,POST awake,one clip,beta DFA intercept,True,50,100,2,32,18,-0.40832242241912287,-0.16437069850966857,0.3111979166666667,0.6888020833333333,lower,0.01130898869101131,0.23748876251123752,False,1000000,20260912
immediate,patient_average,POST awake,mean of two awake clips,beta DFA intercept,True,50,50,1,32,18,-0.39025399367944386,-0.0964905815327547,0.2690972222222222,0.7309027777777778,lower,0.006513993486006514,0.1433078566921433,False,1000000,20260912
immediate,single_clip,POST awake,one clip,beta Shannon entropy,False,50,100,2,32,18,5.9157233672884155,5.845431858613555,0.5269097222222222,0.5269097222222222,higher,0.7406732593267407,1.0,False,1000000,20260912
immediate,patient_average,POST awake,mean of two awake clips,beta Shannon entropy,False,50,50,1,32,18,5.930789438320405,5.763190493597534,0.5381944444444444,0.5381944444444444,higher,0.6675953324046676,1.0,False,1000000,20260912
immediate,single_clip,POST awake,one clip,delta PLI connectivity,False,50,100,2,32,18,7.017543911933899,10.818713530898094,0.41015625,0.58984375,lower,0.26784973215026786,1.0,False,1000000,20260912
immediate,patient_average,POST awake,mean of two awake clips,delta PLI connectivity,False,50,50,1,32,18,9.941520541906357,7.894736900925636,0.4105902777777778,0.5894097222222222,lower,0.30303969696030303,1.0,False,1000000,20260912
immediate,single_clip,POST sleep,one clip,beta DFA intercept,False,50,100,2,32,18,-0.4634934177032337,-0.3848102632506457,0.4357638888888889,0.5642361111111112,lower,0.42797957202042797,1.0,False,1000000,20260912
immediate,patient_average,POST sleep,mean of two sleep clips,beta DFA intercept,False,50,50,1,32,18,-0.48167491906961846,-0.36818990908406013,0.4357638888888889,0.5642361111111112,lower,0.464982535017465,1.0,False,1000000,20260912
immediate,single_clip,POST sleep,one clip,beta Shannon entropy,True,50,100,2,32,18,5.918162951464499,5.385457360384894,0.78125,0.78125,higher,7.999992000008e-05,0.00191999808000192,True,1000000,20260912
immediate,patient_average,POST sleep,mean of two sleep clips,beta Shannon entropy,True,50,50,1,32,18,5.931657196749456,5.253130953460362,0.8229166666666666,0.8229166666666666,higher,0.000105999894000106,0.002437997562002438,True,1000000,20260912
immediate,single_clip,POST sleep,one clip,delta PLI connectivity,False,50,100,2,32,18,10.233918204903603,21.052631735801697,0.4290364583333333,0.5709635416666667,lower,0.38535161464838535,1.0,False,1000000,20260912
immediate,patient_average,POST sleep,mean of two sleep clips,delta PLI connectivity,False,50,50,1,32,18,12.134502828121185,22.514619678258896,0.4314236111111111,0.5685763888888888,lower,0.42773757226242776,1.0,False,1000000,20260912
sustained,single_clip,PRE awake,one clip,beta DFA intercept,True,50,100,2,28,22,-0.21073650825570464,0.017324250945952354,0.3449675324675325,0.6550324675324675,lower,0.04205095794904205,0.756917243082757,False,1000000,20260913
sustained,patient_average,PRE awake,mean of two awake clips,beta DFA intercept,True,50,50,1,28,22,-0.20828942442497145,-0.04534978043598373,0.31655844155844154,0.6834415584415585,lower,0.026275973724026278,0.5255194744805256,False,1000000,20260913
sustained,single_clip,PRE awake,one clip,beta Shannon entropy,False,50,100,2,28,22,5.933917021805218,5.852915678166536,0.5478896103896104,0.5478896103896104,higher,0.5227644772355228,1.0,False,1000000,20260913
sustained,patient_average,PRE awake,mean of two awake clips,beta Shannon entropy,False,50,50,1,28,22,5.826099028892608,5.771762974186151,0.5438311688311688,0.5438311688311688,higher,0.6073293926706074,1.0,False,1000000,20260913
sustained,single_clip,PRE awake,one clip,delta PLI connectivity,True,50,100,2,28,22,5.263157933950424,12.865497171878815,0.3336038961038961,0.6663961038961039,lower,0.029586970413029587,0.5621524378475622,False,1000000,20260913
sustained,patient_average,PRE awake,mean of two awake clips,delta PLI connectivity,True,50,50,1,28,22,5.847953259944916,12.426900491118431,0.3425324675324675,0.6574675324675325,lower,0.056764943235056764,0.965004034995965,False,1000000,20260913
sustained,single_clip,PRE sleep,one clip,beta DFA intercept,False,50,100,2,28,22,-0.08594973047520929,0.10590954469195213,0.3847402597402597,0.6152597402597403,lower,0.14972085027914972,1.0,False,1000000,20260913
