endpoint_tested_here,analysis_family,input,aggregation,quantity,source_target,source_formula,matches_source_patient_construction,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,patient_clustered_permutation_p,holm_p_across_16_derived_tests,significant_after_holm_0_05,permutations,seed
immediate,published EEG response score,PRE awake,one PRE awake clip,R0,sustained response,-2.361*PRE-awake DFA - 0.051*PRE-awake PLI,False,50,100,2,-0.1091710443853136,-0.666937136674034,0.6419270833333334,0.6419270833333334,higher,0.07207692792307208,0.3603846396153604,False,1000000,20260914
immediate,published duration-adjusted response probability,PRE awake,one PRE awake clip,P0,sustained response,sigmoid(2.010 - 0.455*duration + R0),False,50,100,2,0.6559829535692716,0.39646960074707127,0.7109375,0.7109375,higher,0.009532990467009533,0.09532990467009533,False,1000000,20260914
immediate,published EEG response score,PRE awake,mean of two PRE awake clips,R0,sustained response,-2.361*PRE-awake DFA - 0.051*PRE-awake PLI,True,50,50,1,0.09302333390409845,-0.6072821600747909,0.6614583333333334,0.6614583333333334,higher,0.059792940207059796,0.35875764124235876,False,1000000,20260914
immediate,published duration-adjusted response probability,PRE awake,mean of two PRE awake clips,P0,sustained response,sigmoid(2.010 - 0.455*duration + R0),True,50,50,1,0.6328518949317787,0.44565581240444435,0.7152777777777778,0.7152777777777778,higher,0.011551988448011552,0.09532990467009533,False,1000000,20260914
immediate,published EEG response score,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,R1,sustained response,4.765*POST-sleep entropy - 7.786*POST-awake DFA,False,50,200,4,31.32319413454109,26.155312967945484,0.7980685763888888,0.7980685763888888,higher,3.0999969000031e-05,0.00040299959700040297,True,1000000,20260914
immediate,published duration-adjusted response probability,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,P1,sustained response,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),False,50,200,4,0.0005699885469396143,3.654259994314093e-06,0.8174913194444444,0.8174913194444444,higher,9.99999000001e-06,0.00015999984000016,True,1000000,20260914
immediate,published relapse metric,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,rho,relapse time among immediate responders,4.008*POST-awake DFA - 1.661*POST-sleep entropy,False,50,200,4,-11.336168787707333,-9.31418473457121,0.22081163194444445,0.7791883680555556,lower,0.000121999878000122,0.0013439986560013439,True,1000000,20260914
immediate,published EEG response score,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,R1,sustained response,4.765*POST-sleep entropy - 7.786*POST-awake DFA,True,50,50,1,31.326238240858903,27.076672587595212,0.8472222222222222,0.8472222222222222,higher,1.7999982000018e-05,0.000251999748000252,True,1000000,20260914
immediate,published duration-adjusted response probability,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,P1,sustained response,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),True,50,50,1,0.00044798670887514537,5.0400638471467324e-06,0.8559027777777778,0.8559027777777778,higher,1.4999985000015e-05,0.000224999775000225,True,1000000,20260914
immediate,published relapse metric,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,rho,relapse time among immediate responders,4.008*POST-awake DFA - 1.661*POST-sleep entropy,True,50,50,1,-11.42605220537871,-9.596711405480082,0.18055555555555555,0.8194444444444444,lower,0.000111999888000112,0.0013439986560013439,True,1000000,20260914
immediate,published interval-change analysis,PRE + POST awake,all four within-patient PRE/POST clip pairs,POST - PRE awake DFA,sustained response,POST feature - PRE feature,False,50,200,4,-0.2663918173456258,-0.10574993948078004,0.3962673611111111,0.6037326388888888,lower,0.1428138571861428,0.5712554287445712,False,1000000,20260914
immediate,published interval-change analysis,PRE + POST awake,difference between patient-level study means,POST - PRE awake DFA,sustained response,POST feature - PRE feature,True,50,50,1,-0.19721533499999044,-0.08317302901914404,0.4097222222222222,0.5902777777777778,lower,0.3008776991223009,0.9026330973669027,False,1000000,20260914
immediate,published interval-change analysis,PRE + POST awake,all four within-patient PRE/POST clip pairs,POST - PRE awake PLI,sustained response,POST feature - PRE feature,False,50,200,4,4.678362607955933,1.7543856054544449,0.5097113715277778,0.5097113715277778,higher,0.9014340985659014,1.0,False,1000000,20260914
immediate,published interval-change analysis,PRE + POST awake,difference between patient-level study means,POST - PRE awake PLI,sustained response,POST feature - PRE feature,True,50,50,1,6.725146062672138,2.1929822862148285,0.5217013888888888,0.5217013888888888,higher,0.8062531937468063,1.0,False,1000000,20260914
immediate,published interval-change analysis,PRE + POST sleep,all four within-patient PRE/POST clip pairs,POST - PRE sleep entropy,sustained response,POST feature - PRE feature,False,50,200,4,0.48554678701762155,0.07660684676804408,0.6832682291666666,0.6832682291666666,higher,0.010265989734010265,0.09532990467009533,False,1000000,20260914
